file,x,y,w,h
rect.svg,248.3428,-58.4623,201.9639,201.9639
text-as-svg.svg,523.5624,19.7613,275.7664,99.3670
polygon.svg,546.8900,140.7660,21.6110,23.6950
arrow.svg,-23.4680,248.4530,122.9010,90.6280
circle.svg,18.5039,1062.6771,34.0157,34.0157
test-whole.svg,209.0595,202.6104,385.2052,638.1315
grusskarte_klappkarte-quadratisch-145x145_rueckseite 2.svg,204.5284,140.8150,15.9387,14.5965
rect-with-text.svg,778.3600,569.3772,44.9814,34.0158
rect-with-rotation2.svg,262.8844,454.8516,717.0454,912.0694
rect-with-rotation.svg,77.1240,391.6026,671.6328,671.6328
kl-rect.svg,57.5321,216.7132,295.9594,136.7783
masked-clipart-temp.svg,585.0982,472.7264,158.7664,203.2180
test-car.svg,103.8044,69.1133,86.9748,58.2657
frame.svg,373.3083,450.9175,379.1613,473.1776
masked-clipart.svg,585.0982,472.7264,227.1120,318.1857
flower.svg,632.2521,160.7297,187.2372,280.7324
grusskarte_klappkarte-quadratisch-145x145_rueckseite.svg,204.5284,140.8150,15.9387,14.5965
ellipsis.svg,109.0000,191.0202,72.4173,45.0377
error.svg,48.3604,728.1609,240.3923,345.7076
kl.svg,62.0984,200.4852,446.5431,432.0106
heart.svg,571.6644,122.1925,47.2223,40.7656
