file,x,y,w,h
rect.svg,246.3428,-60.4623,205.9639,205.9639
text-as-svg.svg,523.5624,19.7613,275.7664,99.3669
polygon.svg,546.8900,140.7660,21.6110,23.6950
arrow.svg,-23.4680,248.4530,122.9010,90.6280
circle.svg,18.5039,1062.6771,34.0157,34.0157
test-whole.svg,209.0595,202.6104,385.2051,638.1315
grusskarte_klappkarte-quadratisch-145x145_rueckseite 2.svg,204.5284,140.8150,15.9387,14.5967
rect-with-text.svg,778.3600,569.3772,44.9814,34.0158
rect-with-rotation2.svg,262.8844,454.8516,717.0454,912.0694
rect-with-rotation.svg,77.1240,391.6026,671.6328,671.6328
kl-rect.svg,57.5321,216.7132,295.9594,136.7783
masked-clipart-temp.svg,584.9592,472.5333,159.1221,203.6261
test-car.svg,103.8044,69.1135,86.9744,58.2656
frame.svg,370.8083,449.9175,382.6612,476.6776
masked-clipart.svg,584.9592,472.5333,227.2509,318.3788
flower.svg,632.2525,160.7298,187.2367,280.7324
grusskarte_klappkarte-quadratisch-145x145_rueckseite.svg,204.0284,140.3150,16.9387,15.5967
ellipsis.svg,108.5000,190.5202,73.4173,46.0377
error.svg,48.3604,728.1609,240.3923,345.7077
kl.svg,62.0984,200.4852,446.5431,432.0106
heart.svg,571.6644,122.1925,47.2223,40.7656
